Job ID,ChatGPT Score,Company,Position
414622,85,Dornsife Center for Neighborhood Partnerships ,Program Support
429380,45,University of Pennsylvania,Research Study Assistant (RSA) in Psychiatry
437126,65,Summer Salt,Unreasonable Hospitality Co-op
416894,85,"ESF, Inc. ",Human Resources and Payroll Intern
437068,65,HIAS,Immigrant Support Co-op(In-person/Hybrid)
434053,65,Dornsife Development Scholars: World Vision International,Dornsife Global Development Scholar (Africa/Latin America)
437011,85,University City Science Ctr.,FirstHand Co-op
437003,75,HIAS,Asylee Outreach Program Co-op(In-person/Hybrid)
426839,85,Digitas Health ,"Associate, Engagement Strategy, Digitas Health"
429756,85,Drexel University,"Program Support Co-op, Center for Inclusive Education and Scholarship"
346722,40,Philadelphia Zoo,Animal Care Co-op
395334,65,Law Offices of Jeffrey Golkin Partners,Legal Assistant/Paralegal (Real Estate / Law / Business Administration)
433488,70,RAIR Inc,Arts + Sustainability Administration Associate
433567,75,Fire,Campus Rights Intern
436598,60,Children's Hospital of Philadelphia,Research Assistant Position in the Division of Orthopaedic Surgery
427421,85,Drexel University,The Environmental Collaboratory Environmental Justice Co-op
392419,40,Maxi Cohen Studio ,Film Production and Studio Co-Op
428665,40,Drexel University - College of Medicine,Human Anatomy Laboratory Assistant
352996,85,Freire Charter School,Assistant to Admissions Coordinator
322443,70,Drexel University,Curatorial Assistant for the Robert and Penny Fox Historic Costume Collection (FHCC)
381834,75,Centric Benefits Consulting,Employee Benefits Administrative Assistant
436429,65,Redemptorist Fathers Archive,Archives Co-Op
430976,65,Camden Fireworks,Gallery Program Assistant
436421,65,Merion Golf Club,Food & Beverage Intern
427980,85,Drexel University,MRC - Program Assistant
405074,75,Connect 123,International Co-op / Dublin
380316,75,Intern NZ,"International co-op/ Wellington, NZ"
436015,60,Conservation Center for Art & Historic Artifacts ,Museum Conservation Project Assistant
426328,75,Philadelphia Orchestra and Ensemble Arts ,"Inclusion, Diversity, Equity, and Access Strategies (IDEAS) Co-op"
387757,85,Drexel University,Communications and Marketing Assistant
424327,85,Drexel University,Workforce Development Assistant (Philadelphia): Drexel AmeriCorps Member Program
429079,75,"Marshall Dennehey, P.C.",Paralegal Co-op
433492,85,Glenmede,Inclusion and Employee Engagement Co-op
435074,75,Children's Hospital of Philadelphia,Clinical Coordinator I
73741,75,Phila. Department of Commerce,Airport Sustainability Intern
423559,85,Children's Hospital of Philadelphia,Program Assistant
433458,60,Childspace,Teaching Assistant-Co-op
427480,80,French-American Chamber of Commerce,Marketing Coordinator - French Language Skills Not Required. Hybrid: Remote & In Person
436591,70,"Magisterial District Courts of Montgomery County, PA",District Court Liaison
436554,75,Penn Mutual Life Insurance,Human Resources Co-op
426401,65,Independence Blue Cross,College Co-op: Health Equity Analyst (Ross)
426392,85,Glenmede,Private Wealth Program Management Co-op
403154,85,Global Career Center,International co-op / Singapore
437140,55,"Medidata Solutions, Inc.",Technical Writer Co-op
402675,75,Drexel University,Research Assistant Position at the AJ Drexel Autism Institute
437134,35,Latus Bio Inc,Undergraduate Co-op Student - Molecular Biology
437127,75,Bristol Myers Squibb Company,Cell Therapy Training and Learning Co-op
432850,40,Woodstock Farm Sanctuary,Animal Caregiving Co-op
424307,85,ANI Pharmaceuticals,Strategic Analytics Co-Op
437119,50,PhytogenX,Process Engineer Intern
429600,85,Penn Vet Working Dog Center,Applied Data Science: Using Big Data to Optimize Working Dog Selection
428563,55,Penn Vet Working Dog Center,Olfaction and Behavioral Science Research
350815,40,Penn Vet Working Dog Center,Applied Behavioral Science Co-op
437080,60,TOSOH BIOSCIENCE LLC,Student Co-Op-Column Technologies
430827,30,Century Therapeutics ,iPSC Biology Cell Therapy Research Co-op
430829,30,Century Therapeutics ,Cell Therapy iPSC Biology Process Co-op
342863,40,Philadelphia Water Department,"Aquatic Biology Laboratory & Water Analysis Laboratory Co-op/ Ivanna Szpilczak : Philadelphia, PA"
313861,60,Philadelphia Water Department,PWD Southwest WPCP Laboratory Co-op /Emmanuela Gauthier
20703,45,Philadelphia Water Department,"PWD Aquatic Biology Laboratory and Water Analysis Laboratory Co-op/Ivanna Szpilczak:Philadelphia, PA"
