Position ID,Company,Position,Score
414622,Dornsife Center for Neighborhood Partnerships ,Program Support,45
429380,University of Pennsylvania,Research Study Assistant (RSA) in Psychiatry,40
437126,Summer Salt,Unreasonable Hospitality Co-op,25
416894,"ESF, Inc. ",Human Resources and Payroll Intern,40
437068,HIAS,Immigrant Support Co-op(In-person/Hybrid),25
434053,Dornsife Development Scholars: World Vision International,Dornsife Global Development Scholar (Africa/Latin America),25
437011,University City Science Ctr.,FirstHand Co-op,72
437003,HIAS,Asylee Outreach Program Co-op(In-person/Hybrid),32
426839,Digitas Health ,"Associate, Engagement Strategy, Digitas Health",25
429756,Drexel University,"Program Support Co-op, Center for Inclusive Education and Scholarship",25
346722,Philadelphia Zoo,Animal Care Co-op,20
395334,Law Offices of Jeffrey Golkin Partners,Legal Assistant/Paralegal (Real Estate / Law / Business Administration),20
433488,RAIR Inc,Arts + Sustainability Administration Associate,25
433567,Fire,Campus Rights Intern,40
436598,Children's Hospital of Philadelphia,Research Assistant Position in the Division of Orthopaedic Surgery,60
427421,Drexel University,The Environmental Collaboratory Environmental Justice Co-op,62
392419,Maxi Cohen Studio ,Film Production and Studio Co-Op,40
428665,Drexel University - College of Medicine,Human Anatomy Laboratory Assistant,20
352996,Freire Charter School,Assistant to Admissions Coordinator,20
322443,Drexel University,Curatorial Assistant for the Robert and Penny Fox Historic Costume Collection (FHCC),40
381834,Centric Benefits Consulting,Employee Benefits Administrative Assistant,55
436429,Redemptorist Fathers Archive,Archives Co-Op,20
430976,Camden Fireworks,Gallery Program Assistant,15
436421,Merion Golf Club,Food & Beverage Intern,20
427980,Drexel University,MRC - Program Assistant,65
405074,Connect 123,International Co-op / Dublin,55
380316,Intern NZ,"International co-op/ Wellington, NZ",30
436015,Conservation Center for Art & Historic Artifacts ,Museum Conservation Project Assistant,30
426328,Philadelphia Orchestra and Ensemble Arts ,"Inclusion, Diversity, Equity, and Access Strategies (IDEAS) Co-op",45
387757,Drexel University,Communications and Marketing Assistant,30
424327,Drexel University,Workforce Development Assistant (Philadelphia): Drexel AmeriCorps Member Program,55
429079,"Marshall Dennehey, P.C.",Paralegal Co-op,60
433492,Glenmede,Inclusion and Employee Engagement Co-op,70
435074,Children's Hospital of Philadelphia,Clinical Coordinator I,65
73741,Phila. Department of Commerce,Airport Sustainability Intern,45
423559,Children's Hospital of Philadelphia,Program Assistant,60
433458,Childspace,Teaching Assistant-Co-op,35
427480,French-American Chamber of Commerce,Marketing Coordinator - French Language Skills Not Required. Hybrid: Remote & In Person,25
