Position ID,Company,Position,Score
414622,Dornsife Center for Neighborhood Partnerships ,Program Support,40
429380,University of Pennsylvania,Research Study Assistant (RSA) in Psychiatry,35
437126,Summer Salt,Unreasonable Hospitality Co-op,20
416894,"ESF, Inc. ",Human Resources and Payroll Intern,40
437068,HIAS,Immigrant Support Co-op(In-person/Hybrid),20
434053,Dornsife Development Scholars: World Vision International,Dornsife Global Development Scholar (Africa/Latin America),25
437011,University City Science Ctr.,FirstHand Co-op,45
437003,HIAS,Asylee Outreach Program Co-op(In-person/Hybrid),25
426839,Digitas Health ,"Associate, Engagement Strategy, Digitas Health",40
429756,Drexel University,"Program Support Co-op, Center for Inclusive Education and Scholarship",25
346722,Philadelphia Zoo,Animal Care Co-op,10
395334,Law Offices of Jeffrey Golkin Partners,Legal Assistant/Paralegal (Real Estate / Law / Business Administration),20
433488,RAIR Inc,Arts + Sustainability Administration Associate,50
433567,Fire,Campus Rights Intern,35
436598,Children's Hospital of Philadelphia,Research Assistant Position in the Division of Orthopaedic Surgery,30
427421,Drexel University,The Environmental Collaboratory Environmental Justice Co-op,40
392419,Maxi Cohen Studio ,Film Production and Studio Co-Op,30
428665,Drexel University - College of Medicine,Human Anatomy Laboratory Assistant,30
352996,Freire Charter School,Assistant to Admissions Coordinator,20
322443,Drexel University,Curatorial Assistant for the Robert and Penny Fox Historic Costume Collection (FHCC),20
381834,Centric Benefits Consulting,Employee Benefits Administrative Assistant,30
436429,Redemptorist Fathers Archive,Archives Co-Op,25
430976,Camden Fireworks,Gallery Program Assistant,25
436421,Merion Golf Club,Food & Beverage Intern,40
427980,Drexel University,MRC - Program Assistant,55
405074,Connect 123,International Co-op / Dublin,60
380316,Intern NZ,"International co-op/ Wellington, NZ",40
436015,Conservation Center for Art & Historic Artifacts ,Museum Conservation Project Assistant,22
426328,Philadelphia Orchestra and Ensemble Arts ,"Inclusion, Diversity, Equity, and Access Strategies (IDEAS) Co-op",45
387757,Drexel University,Communications and Marketing Assistant,35
424327,Drexel University,Workforce Development Assistant (Philadelphia): Drexel AmeriCorps Member Program,45
429079,"Marshall Dennehey, P.C.",Paralegal Co-op,30
433492,Glenmede,Inclusion and Employee Engagement Co-op,65
435074,Children's Hospital of Philadelphia,Clinical Coordinator I,30
73741,Phila. Department of Commerce,Airport Sustainability Intern,35
423559,Children's Hospital of Philadelphia,Program Assistant,40
433458,Childspace,Teaching Assistant-Co-op,20
427480,French-American Chamber of Commerce,Marketing Coordinator - French Language Skills Not Required. Hybrid: Remote & In Person,30
436591,"Magisterial District Courts of Montgomery County, PA",District Court Liaison,40
436554,Penn Mutual Life Insurance,Human Resources Co-op,55
426401,Independence Blue Cross,College Co-op: Health Equity Analyst (Ross),40
426392,Glenmede,Private Wealth Program Management Co-op,45
403154,Global Career Center,International co-op / Singapore,75
437140,"Medidata Solutions, Inc.",Technical Writer Co-op,70
402675,Drexel University,Research Assistant Position at the AJ Drexel Autism Institute,40
437134,Latus Bio Inc,Undergraduate Co-op Student - Molecular Biology,30
437127,Bristol Myers Squibb Company,Cell Therapy Training and Learning Co-op,40
